feature_set,feature_count,model,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_precision_mean,cv_recall_mean,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,holdout_accuracy,holdout_balanced_accuracy,holdout_precision,holdout_recall,holdout_specificity,holdout_f1,holdout_roc_auc,holdout_pr_auc,holdout_brier
full_questionnaire,32,XGBoost,0.9540426469591159,0.006732698675006006,0.9454479114236655,0.9527391535211021,0.9161089283294948,0.9338044516514914,0.009451344705004546,0.95584293097609,0.9488372093023256,0.9395588792124195,0.9452054794520548,0.9078947368421053,0.9712230215827338,0.9261744966442953,0.9448125709958349,0.938300593518372,0.049911145120859146
full_questionnaire,32,RandomForest,0.9464709471828598,0.010560578024672094,0.9339792147090671,0.9554104484269343,0.8913697330984961,0.9214092380393692,0.017358379207601887,0.9542312604828895,0.9465116279069767,0.936269405528209,0.9448275862068966,0.9013157894736842,0.9712230215827338,0.9225589225589226,0.9392748958727755,0.9241410868707434,0.08990450622597931
full_questionnaire,32,LogisticRegression,0.8214133161570276,0.019373337983947903,0.8212093535889089,0.7191269386959789,0.8206476087251049,0.765301616120774,0.016558270348333314,0.9046004233245684,0.8093023255813954,0.8182269973494889,0.6861702127659575,0.8486842105263158,0.7877697841726619,0.7588235294117647,0.8843241196516471,0.8225011352226735,0.13832791621738472
screening_risk_factors,22,LogisticRegression,0.5369347074377924,0.00513858677568743,0.5375039674602605,0.3886171709188283,0.539452648692589,0.4517603018218782,0.007054949852860226,0.533823822504127,0.49767441860465117,0.49969235138205226,0.3532110091743119,0.506578947368421,0.49280575539568344,0.41621621621621624,0.5181276031806135,0.393588767173657,0.2527295859580413
screening_risk_factors,22,RandomForest,0.6090718014780663,0.007190825839444412,0.515504408867838,0.3936905378199598,0.19573228559815745,0.26030769057596326,0.027655973411183227,0.5117868324440404,0.6093023255813953,0.5129685725104127,0.3888888888888889,0.18421052631578946,0.841726618705036,0.25,0.47347122302158273,0.3464021438219185,0.24296631284283507
screening_risk_factors,22,XGBoost,0.6020899722015052,0.010932278925462153,0.49259524749423367,0.3275961889772631,0.1183985909768324,0.17364729535690987,0.022800498177160695,0.5098658504321025,0.5976744186046512,0.4860848163574404,0.3018867924528302,0.10526315789473684,0.8669064748201439,0.15609756097560976,0.4640051117001136,0.32915761151643036,0.2520747482776642
